name,municipal_code,,,,,
Buffalo City Metropolitan Municipality,BUF,,,,,
City of Cape Town Metropolitan Municipality,CPT,,,,,
City of Ekurhuleni Metropolitan Municipality,EKU,,,,,
City of Johannesburg Metropolitan Municipality,JHB,,,,,
City of Tshwane Metropolitan Municipality,TSH,,,,,
eThekwini Metropolitan Municipality,ETH,,,,,
Mangaung Metropolitan Municipality,MAN,,,,,
Nelson Mandela Bay Metropolitan Municipality,NMA,,,,,
