municipal_code,type_of_mun,province,seat,,,
BUF,metro,Eastern Cape,East London,,,
CPT,metro,Western Cape,Cape Town,,,
EKU,metro,Gauteng,Germiston,,,
JHB,metro,Gauteng,Johannesburg,,,
TSH,metro,Gauteng,Pretoria,,,
ETH,metro,KwaZulu-Natal,Durban,,,
MAN,metro,Free State,Bloemfontein,,,
NMA,metro,Eastern Cape,Port Elizabeth,,,
