municipal_code,type_of_mun,province,seat,,,
FS193,local,Free State,Reitz,,,
MP324,local,Mpumalanga,Malalane,,,
KZN265,local,KwaZulu-Natal,Nongoma,,,
KZN242,local,KwaZulu-Natal,Nquthu,,,
EC444,local,Eastern Cape,Ntabankulu,,,
EC155,local,Eastern Cape,Libode,,,
KZN235,local,KwaZulu-Natal,Bergville,,,
WC045,local,Western Cape,Oudtshoorn,,,
WC032,local,Western Cape,Hermanus,,,
NC094,local,Northern Cape,Hartswater,,,
FS195,local,Free State,Vrede,,,
MP304,local,Mpumalanga,Volksrust,,,
LIM354,local,Limpopo,Polokwane,,,
EC154,local,Eastern Cape,Port St Johns,,,
WC052,local,Western Cape,Prince Albert,,,
NW385,local,North West,Zeerust,,,
GT485,local,Gauteng,Randfontein,,,
NW381,local,North West,Setlagole,,,
KZN216,local,KwaZulu-Natal,Port Shepstone,,,
EC129,local,Eastern Cape,Alice,,,
NC075,local,Northern Cape,Petrusville,,,
KZN227,local,KwaZulu-Natal,Richmond,,,
NC061,local,Northern Cape,Port Nolloth,,,
NW373,local,North West,Rustenburg,,,
EC138,local,Eastern Cape,Cala,,,
WC014,local,Western Cape,Vredenburg,,,
EC142,local,Eastern Cape,Lady Grey,,,
FS191,local,Free State,Ficksburg,,,
NC078,local,Northern Cape,Douglas,,,
NC077,local,Northern Cape,Prieska,,,
NC091,local,Northern Cape,Kimberley,,,
WC024,local,Western Cape,Stellenbosch,,,
MP313,local,Mpumalanga,Middelburg,,,
EC106,local,Eastern Cape,Kirkwood,,,
WC015,local,Western Cape,Malmesbury,,,
WC034,local,Western Cape,Swellendam,,,
MP321,local,Mpumalanga,Lydenburg,,,
LIM361,local,Limpopo,Thabazimbi,,,
WC031,local,Western Cape,Caledon,,,
NC076,local,Northern Cape,Hopetown,,,
MP315,local,Mpumalanga,eMpumalanga,,,
LIM343,local,Limpopo,Thohoyandou,,,
FS182,local,Free State,Boshof,,,
NC085,local,Northern Cape,Postmasburg,,,
NW382,local,North West,Delareyville,,,
FS183,local,Free State,Bultfontein,,,
KZN434,local,KwaZulu-Natal,Ixopo,,,
NC071,local,Northern Cape,Victoria West,,,
KZN266,local,KwaZulu-Natal,Ulundi,,,
KZN212,local,KwaZulu-Natal,Scottburgh,,,
KZN281,local,KwaZulu-Natal,KwaMbonambi,,,
KZN271,local,KwaZulu-Natal,Kwangwanase,,,
KZN282,local,KwaZulu-Natal,Richards Bay,,,
KZN284,local,KwaZulu-Natal,Eshowe,,,
KZN222,local,KwaZulu-Natal,Howick,,,
KZN221,local,KwaZulu-Natal,Wartburg,,,
NC072,local,Northern Cape,Colesberg,,,
KZN214,local,KwaZulu-Natal,Harding,,,
KZN245,local,KwaZulu-Natal,Greytown,,,
KZN435,local,KwaZulu-Natal,Umzimkhulu,,,
EC442,local,Eastern Cape,Mount Frere,,,
KZN213,local,KwaZulu-Natal,Mtwalume,,,
KZN262,local,KwaZulu-Natal,Pongola,,,
MP311,local,Mpumalanga,Delmas,,,
EC145,local,Eastern Cape,Burgersdorp,,,
WC022,local,Western Cape,Ceres,,,
